"","Lon","Lat"
"1",-2.25,43.75
"2",-3.75,43.75
"3",-6.75,43.75
"4",-1.25,43.75
"5",-1.75,43.75
"6",-1.25,44.25
"7",-1.75,44.25
"8",-2.25,44.25
"9",-1.25,44.75
"10",-1.75,44.75
"11",-2.25,44.75
"12",-3.25,45.25
"13",-0.75,45.25
"14",-1.25,45.25
"15",-1.75,45.25
"16",-2.25,45.25
"17",-2.75,45.25
"18",-5.75,45.25
"19",-3.25,45.75
"20",-1.25,45.75
"21",-1.75,45.75
"22",-2.25,45.75
"23",-2.75,45.75
"24",-4.25,46.25
"25",-1.25,46.25
"26",-1.75,46.25
"27",-2.25,46.25
"28",-2.75,46.25
"29",-10.25,46.25
"30",-3.25,46.25
"31",-3.75,46.25
"32",-3.25,46.75
"33",-5.75,46.75
"34",-3.75,46.75
"35",-4.25,46.75
"36",-2.25,46.75
"37",-2.75,46.75
"38",-4.25,47.25
"39",-4.75,47.25
"40",-5.25,47.25
"41",-1.75,47.25
"42",-2.25,47.25
"43",-2.75,47.25
"44",-3.25,47.25
"45",-3.75,47.25
"46",-4.25,47.75
"47",-5.75,47.75
"48",-4.75,47.75
"49",-6.25,47.75
"50",-3.25,47.75
"51",-3.75,47.75
"52",-1.75,48.75
"53",-3.75,48.75
"54",-4.25,48.75
"55",-2.25,49.25
"56",0.25,49.75
"57",-1.75,49.75
"58",-4.25,49.75
"59",-3.25,50.25
"60",-0.25,50.25
"61",0.75,50.25
"62",0.25,50.75
"63",0.75,50.75
"64",1.25,50.75
"65",1.75,50.75
"66",-0.25,50.75
"67",-1.25,50.75
"68",-1.75,50.75
"69",-4.25,51.25
"70",3.25,51.25
"71",-7.25,51.25
"72",-4.75,51.25
"73",3.75,51.25
"74",-7.75,51.25
"75",0.25,51.25
"76",1.75,51.25
"77",4.25,51.25
"78",-5.25,51.25
"79",-5.75,51.25
"80",2.25,51.25
"81",2.75,51.25
"82",-6.25,51.25
"83",2.75,51.75
"84",-6.75,51.75
"85",-4.25,51.75
"86",3.25,51.75
"87",-7.25,51.75
"88",3.75,51.75
"89",-8.25,51.75
"90",-8.75,51.75
"91",1.25,51.75
"92",4.25,51.75
"93",1.75,51.75
"94",-5.75,51.75
"95",2.25,51.75
"96",-6.25,51.75
"97",2.75,52.25
"98",3.75,52.25
"99",-4.75,52.25
"100",5.25,52.25
"101",-10.25,52.25
"102",4.25,52.25
"103",5.75,52.25
"104",4.75,52.25
"105",1.75,52.25
"106",-6.25,52.25
"107",2.25,52.25
"108",2.25,52.75
"109",2.75,52.75
"110",3.25,52.75
"111",3.75,52.75
"112",-5.75,52.75
"113",5.25,52.75
"114",4.25,52.75
"115",5.75,52.75
"116",1.75,52.75
"117",-9.75,52.75
"118",4.75,52.75
"119",-5.75,53.25
"120",3.75,53.25
"121",1.25,53.25
"122",-6.25,53.25
"123",1.75,53.25
"124",4.25,53.25
"125",4.75,53.25
"126",-4.25,53.25
"127",2.25,53.25
"128",2.75,53.25
