"","Lon","Lat","focal_rac_vect"
"1",-2.25,43.75,-0.585979133844376
"2",-3.75,43.75,-0.676305592060089
"3",-6.75,43.75,-0.671037644147873
"4",-1.25,43.75,-0.473899066448212
"5",-1.75,43.75,-0.450120687484741
"6",-1.25,44.25,-0.567416667938232
"7",-1.75,44.25,-0.340234756469727
"8",-2.25,44.25,-0.442988514900208
"9",-1.25,44.75,-0.691983252763748
"10",-1.75,44.75,-0.734956979751587
"11",-2.25,44.75,-0.313807010650635
"12",-3.25,45.25,-0.43789267539978
"13",-0.75,45.25,-0.47993016242981
"14",-1.25,45.25,-0.537979483604431
"15",-1.75,45.25,-0.939166653901339
"16",-2.25,45.25,-0.545704364776611
"17",-2.75,45.25,-0.394850134849548
"18",-5.75,45.25,-0.437996089458466
"19",-3.25,45.75,-0.467290878295898
"20",-1.25,45.75,-0.497397243976593
"21",-1.75,45.75,-0.753285482525826
"22",-2.25,45.75,-0.411568343639374
"23",-2.75,45.75,-0.426871716976166
"24",-4.25,46.25,-0.442855536937714
"25",-1.25,46.25,-0.47405868768692
"26",-1.75,46.25,-0.95268826559186
"27",-2.25,46.25,-0.517890274524689
"28",-2.75,46.25,-0.596146672964096
"29",-10.25,46.25,-0.489388883113861
"30",-3.25,46.25,-0.933896504342556
"31",-3.75,46.25,-0.529200226068497
"32",-3.25,46.75,-0.696206837892532
"33",-5.75,46.75,-0.410504400730133
"34",-3.75,46.75,-0.445164203643799
"35",-4.25,46.75,-0.518026322126389
"36",-2.25,46.75,-0.585384339094162
"37",-2.75,46.75,-0.649874597787857
"38",-4.25,47.25,-0.346040666103363
"39",-4.75,47.25,-0.497335612773895
"40",-5.25,47.25,-0.44999486207962
"41",-1.75,47.25,-0.493050277233124
"42",-2.25,47.25,-0.554097831249237
"43",-2.75,47.25,-0.643724381923676
"44",-3.25,47.25,-0.579496681690216
"45",-3.75,47.25,-0.65606090426445
"46",-4.25,47.75,-0.513377070426941
"47",-5.75,47.75,-0.526753693819046
"48",-4.75,47.75,-0.574407607316971
"49",-6.25,47.75,-0.591615051031113
"50",-3.25,47.75,-0.59251469373703
"51",-3.75,47.75,-0.573761999607086
"52",-1.75,48.75,-0.579677730798721
"53",-3.75,48.75,-0.605534464120865
"54",-4.25,48.75,-0.639497429132462
"55",-2.25,49.25,-0.579605013132095
"56",0.25,49.75,-0.578720837831497
"57",-1.75,49.75,-0.578131586313248
"58",-4.25,49.75,-0.469071805477142
"59",-3.25,50.25,-0.477524757385254
"60",-0.25,50.25,-0.470738530158997
"61",0.75,50.25,-0.470254361629486
"62",0.25,50.75,-0.52359339594841
"63",0.75,50.75,-0.52512800693512
"64",1.25,50.75,-0.461431503295898
"65",1.75,50.75,-0.592961430549622
"66",-0.25,50.75,-0.469674408435822
"67",-1.25,50.75,-0.597360223531723
"68",-1.75,50.75,-0.472854375839233
"69",-4.25,51.25,-0.580596953630447
"70",3.25,51.25,-0.586517751216888
"71",-7.25,51.25,-0.463488101959229
"72",-4.75,51.25,-0.461184322834015
"73",3.75,51.25,-0.596344172954559
"74",-7.75,51.25,-0.46977972984314
"75",0.25,51.25,-0.475607335567474
"76",1.75,51.25,-0.459315955638885
"77",4.25,51.25,-0.449920117855072
"78",-5.25,51.25,-0.479717075824738
"79",-5.75,51.25,-0.420869171619415
"80",2.25,51.25,-0.487456500530243
"81",2.75,51.25,-0.476028621196747
"82",-6.25,51.25,-0.418630957603455
"83",2.75,51.75,-0.466062903404236
"84",-6.75,51.75,-0.478499054908752
"85",-4.25,51.75,-0.469634830951691
"86",3.25,51.75,-0.483370125293732
"87",-7.25,51.75,-0.468280971050262
"88",3.75,51.75,-0.4481520652771
"89",-8.25,51.75,-0.464017808437347
"90",-8.75,51.75,-0.34372615814209
"91",1.25,51.75,-0.453468680381775
"92",4.25,51.75,-0.459254145622253
"93",1.75,51.75,-0.4650918841362
"94",-5.75,51.75,-0.448813676834106
"95",2.25,51.75,-0.457499265670776
"96",-6.25,51.75,-0.463223516941071
"97",2.75,52.25,-0.474984347820282
"98",3.75,52.25,-0.464928269386292
"99",-4.75,52.25,-0.458973586559296
"100",5.25,52.25,-0.466211915016174
"101",-10.25,52.25,-0.43991756439209
"102",4.25,52.25,-0.491051852703094
"103",5.75,52.25,-0.460851967334747
"104",4.75,52.25,-0.456774294376373
"105",1.75,52.25,-0.434499740600586
"106",-6.25,52.25,-0.434065222740173
"107",2.25,52.25,-0.474642336368561
"108",2.25,52.75,-0.464494943618774
"109",2.75,52.75,-0.435834050178528
"110",3.25,52.75,-0.441317915916443
"111",3.75,52.75,-0.479276359081268
"112",-5.75,52.75,-0.449562430381775
"113",5.25,52.75,-0.448531866073608
"114",4.25,52.75,-0.436312735080719
"115",5.75,52.75,-0.470384657382965
"116",1.75,52.75,-0.465278029441833
"117",-9.75,52.75,-0.431908130645752
"118",4.75,52.75,-0.450046956539154
"119",-5.75,53.25,-0.467625975608826
"120",3.75,53.25,-0.477824032306671
"121",1.25,53.25,-0.449693024158478
"122",-6.25,53.25,-0.470712304115295
"123",1.75,53.25,-0.47132819890976
"124",4.25,53.25,-0.463209331035614
"125",4.75,53.25,-0.426376402378082
"126",-4.25,53.25,-0.459759950637817
"127",2.25,53.25,-0.461743652820587
"128",2.75,53.25,-0.427739083766937
"129",-5.25,53.25,-0.453543186187744
"130",0.75,53.25,-0.515646725893021
"131",3.25,53.25,-0.463075995445251
"132",0.25,53.75,-0.455792963504791
"133",6.25,53.75,-0.559362202882767
"134",-5.25,53.75,-0.431597054004669
"135",0.75,53.75,-0.445031344890594
"136",3.25,53.75,-0.469098508358002
"137",6.75,53.75,-0.471880376338959
"138",-5.75,53.75,-0.461308777332306
"139",3.75,53.75,-0.430240452289581
"140",7.25,53.75,-0.464794278144836
"141",7.75,53.75,-0.461964964866638
"142",-6.25,53.75,-0.430167436599731
"143",1.25,53.75,-0.461925685405731
"144",8.25,53.75,-0.469848453998566
"145",-3.75,53.75,-0.452281832695007
"146",1.75,53.75,-0.437747180461884
"147",4.25,53.75,-0.475675761699677
"148",-10.25,53.75,-0.440436005592346
"149",4.75,53.75,-0.445915818214417
"150",-4.75,53.75,-0.479135274887085
"151",-10.75,53.75,-0.454201400279999
"152",2.25,53.75,-0.447750151157379
"153",2.75,53.75,-0.452085793018341
"154",5.25,53.75,-0.477485954761505
"155",5.75,53.75,-0.447871625423431
"156",6.75,54.25,-0.450801610946655
"157",-9.75,54.25,-0.404205143451691
"158",1.25,54.25,-0.462063908576965
"159",4.25,54.25,-0.526431500911713
"160",-3.75,54.25,-0.432102560997009
