"","Lon","Lat","focal_rac_vect"
"1",-2.25,43.75,-0.997782705099778
"2",-3.75,43.75,-0.993348115299335
"3",-6.75,43.75,-0.980044345898004
"4",-1.25,43.75,-0.988913525498891
"5",-1.75,43.75,-0.980044345898004
"6",-1.25,44.25,-0.993348115299335
"7",-1.75,44.25,-0.962305986696231
"8",-2.25,44.25,-0.971175166297118
"9",-1.25,44.75,-0.984478935698448
"10",-1.75,44.75,-0.971175166297118
"11",-2.25,44.75,-0.922394678492239
"12",-3.25,45.25,-0.953436807095344
"13",-0.75,45.25,-0.966740576496674
"14",-1.25,45.25,-0.962305986696231
"15",-1.75,45.25,-0.997782705099778
"16",-2.25,45.25,-0.944567627494457
"17",-2.75,45.25,-0.962305986696231
"18",-5.75,45.25,-0.904656319290466
"19",-3.25,45.75,-0.93569844789357
"20",-1.25,45.75,-0.9490022172949
"21",-1.75,45.75,-0.984478935698448
"22",-2.25,45.75,-0.993348115299335
"23",-2.75,45.75,-0.864745011086475
"24",-4.25,46.25,-0.904656319290466
"25",-1.25,46.25,-0.917960088691796
"26",-1.75,46.25,-0.997782705099778
"27",-2.25,46.25,-0.931263858093126
"28",-2.75,46.25,-0.93569844789357
"29",-10.25,46.25,-0.886917960088692
"30",-3.25,46.25,-0.988913525498891
"31",-3.75,46.25,-0.895787139689579
"32",-3.25,46.75,-0.9490022172949
"33",-5.75,46.75,-0.83370288248337
"34",-3.75,46.75,-0.869179600886918
"35",-4.25,46.75,-0.851441241685144
"36",-2.25,46.75,-0.909090909090909
"37",-2.75,46.75,-0.966740576496674
"38",-4.25,47.25,-0.993348115299335
"39",-4.75,47.25,-0.811529933481153
"40",-5.25,47.25,-0.829268292682927
"41",-1.75,47.25,-0.851441241685144
"42",-2.25,47.25,-0.811529933481153
"43",-2.75,47.25,-0.957871396895787
"44",-3.25,47.25,-0.815964523281596
"45",-3.75,47.25,-0.975609756097561
"46",-4.25,47.75,-0.933481152993348
"47",-5.75,47.75,-0.815964523281596
"48",-4.75,47.75,-0.869179600886918
"49",-6.25,47.75,-0.804878048780488
"50",-3.25,47.75,-0.789356984478936
"51",-3.75,47.75,-0.993348115299335
"52",-1.75,48.75,-0.824833702882483
"53",-3.75,48.75,-0.771618625277162
"54",-4.25,48.75,-0.784922394678492
"55",-2.25,49.25,-0.736141906873614
"56",0.25,49.75,-0.753880266075388
"57",-1.75,49.75,-0.749445676274945
"58",-4.25,49.75,-0.700665188470067
"59",-3.25,50.25,-0.709534368070953
"60",-0.25,50.25,-0.713968957871397
"61",0.75,50.25,-0.70509977827051
"62",0.25,50.75,-0.977827050997783
"63",0.75,50.75,-0.869179600886918
"64",1.25,50.75,-0.660753880266075
"65",1.75,50.75,-0.740576496674058
"66",-0.25,50.75,-0.69179600886918
"67",-1.25,50.75,-0.731707317073171
"68",-1.75,50.75,-0.687361419068736
"69",-4.25,51.25,-0.727272727272727
"70",3.25,51.25,-0.758314855875831
"71",-7.25,51.25,-0.842572062084257
"72",-4.75,51.25,-0.933481152993348
"73",3.75,51.25,-0.745011086474501
"74",-7.75,51.25,-0.669623059866962
"75",0.25,51.25,-0.656319290465632
"76",1.75,51.25,-0.977827050997783
"77",4.25,51.25,-0.729490022172949
"78",-5.25,51.25,-0.674057649667406
"79",-5.75,51.25,-0.842572062084257
"80",2.25,51.25,-0.638580931263858
"81",2.75,51.25,-0.842572062084257
"82",-6.25,51.25,-0.747228381374723
"83",2.75,51.75,-0.647450110864745
"84",-6.75,51.75,-0.660753880266075
"85",-4.25,51.75,-0.678492239467849
"86",3.25,51.75,-0.665188470066519
"87",-7.25,51.75,-0.625277161862528
"88",3.75,51.75,-0.707317073170732
"89",-8.25,51.75,-0.60310421286031
"90",-8.75,51.75,-0.784922394678492
"91",1.25,51.75,-0.618625277161863
"92",4.25,51.75,-0.518847006651885
"93",1.75,51.75,-0.58980044345898
"94",-5.75,51.75,-0.483370288248337
"95",2.25,51.75,-0.523281596452328
"96",-6.25,51.75,-0.580931263858093
"97",2.75,52.25,-0.58980044345898
"98",3.75,52.25,-0.47450110864745
"99",-4.75,52.25,-0.707317073170732
"100",5.25,52.25,-0.660753880266075
"101",-10.25,52.25,-0.643015521064302
"102",4.25,52.25,-0.647450110864745
"103",5.75,52.25,-0.416851441241685
"104",4.75,52.25,-0.58980044345898
"105",1.75,52.25,-0.707317073170732
"106",-6.25,52.25,-0.556541019955654
"107",2.25,52.25,-0.532150776053215
"108",2.25,52.75,-0.889135254988914
"109",2.75,52.75,-0.556541019955654
"110",3.25,52.75,-0.492239467849224
"111",3.75,52.75,-0.649667405764967
"112",-5.75,52.75,-0.869179600886918
"113",5.25,52.75,-0.556541019955654
"114",4.25,52.75,-0.729490022172949
